"CODE","es"
"NAME","Español"
"GROUP_LOCALISATION","Localización"
"dropdownLocalization","Idioma"
"tabGeneral","General"
"tabMainPanel","Panel Principal"
"tabLineIssues","Problemas de línea"
"groupToolbarButtons","Botones de barra de herramientas"
"btnAddMainToolbar","Añadir botón a la barra de herramientas principal"
"btnAddUnifiedUI","Añadir botón a la barra de herramientas principal"
"groupKeyboardShortcuts","Atajos de teclado"
"keyOpenMainPanel","Abrir Nuevo Panel"
"keyOpenIssuesPanel","Abrir panel de problemas de transferencia"
"groupBehaviour","Comportamiento"
"chkZoomInOnTarget","Acercar en el vehículo/parar/posición"
"groupBoredThreshold","Umbral aburrido"
"sliderBored","Aburrido"
"txtBoredHint","[0..255] 0 = Acabo de llegar, 255 = Borrado, tiempo para ir."
"groupTooltips","Consejos"
"sliderFontSize","Tamaño de fuente"
"sliderTooltipRowLimit","Límite de la línea de herramientas"
"groupLineIssuesGeneral","General"
"chkDeleteResolved","Eliminar automáticamente los problemas resueltos"
"chkDeleteWhenClosing","Eliminar incidencias al cerrar el panel de incidencias de línea"
"groupIssues","Problemas"
"chkFlagMoveSlowly","Marcar si los vehículos se mueven lentamente"
"sliderSlowVehicleThreshold","       Umbral de vehículo lento"
"groupWarnings","Advertencias"
"chkWarnDespawn","Advertencia si los vehículos se desvanecen"
"chkWarnBlocked","Advertir si los vehículos dejan de moverse (bloqueado)"
"sliderBlockedThreshold","       Umbral de vehículo lento"
"chkLineIssues","Avisar si se detectan problemas en la línea de transporte"
"chkPlaySound","Emitir sonido cuando se detecta movimiento"
"lblOverview","Información general"
"lblOverviewTooltip","Resumen de todas las líneas."
"OverviewPassengers","Pasajeros"
"OverviewWaiting","Esperando"
"OverviewBored","Aburrido"
"panelLineIssues","Problemas de línea"
"headerLineName","Nombre de la línea"
"headerLineNameTooltip","Nombre de la línea."
"headerStops","Paradas"
"headerStopsTooltip","Cantidad de denuncias que este usuario ha recibido."
"headerVehicleTooltip","Total de archivos en el drive"
"headerBusiest","Ocupado"
"headerPassengersTooltip","Pasajeros actuales / Capacidad Total"
"headerWaitingTooltip","Número total de personas esperando en todas las paradas"
"headerBusiestTooltip","Número de personas que esperan en la parada más ocupada"
"headerBoredTooltip","Número de personas que están esperando demasiado tiempo"
"titleLineIssuesPanel","Problemas de línea"
"listIssuesColumn1","Tiempo"
"listIssuesColumnType","Tipo"
"listIssuesColumnTypeTooltip","Tipo de asunto"
"listIssuesColumn2","Nombre de la línea"
"listIssuesColumn3","Fuente"
"listIssuesColumn4","Descripción"
"listIssuesColumn1Tooltip","Tipo de asunto"
"listIssuesColumn2Tooltip","Nombre de línea donde ocurrió el problema"
"listIssuesColumn3Tooltip","Lugar de expedición"
"listIssuesColumn4Tooltip","Descripción del icono"
"txtWeeklyPassengers","Pasajeros semanales"
"txtResidents","Residentes"
"txtTourists","Turistas"
"txtStop","Parada"
"txtBlocked","Bloqueado"
"txtProblem","no hay problema"
"txtResolved","Resuelta"
"sliderBoredCountThreshold","Umbral aburrido"
"chkBoredCount","Advertencia cuando el recuento aburrido está por encima del umbral (Per stop)"
"VehicleUsage","Uso"
"headerUsageTooltip","Uso del vehículo"
"chkDisableTransparency","Desactivar transparencia del panel de Ajustes Rápidos"
"txtDeleteresolvedDelay","Eliminar Retraso Resuelto (Segundos)"
"chkActivatePublicTransportInfoView","Activate public transport info view when main panel visible"
"tooltipHighlightDestinationOn","Highlight Destination: On"
"tooltipHighlightDestinationOff","Highlight Destination: Off"
"tooltipActivatePublicTransportInfoView","Activate public transport info view"
