"CODE","en"
"NAME","English"
"GROUP_LOCALISATION","Localization"
"dropdownLocalization","Language"
"tabGeneral","General"
"tabMainPanel","Main Panel"
"tabLineIssues","Line Issues"
"groupToolbarButtons","Toolbar Buttons"
"btnAddMainToolbar","Add button to main toolbar"
"btnAddUnifiedUI","Add button to UnifiedUI toolbar"
"groupKeyboardShortcuts","Keyboard Shortcuts"
"keyOpenMainPanel","Open Main Panel"
"keyOpenIssuesPanel","Open Line Issue Panel"
"groupBehaviour","Behaviour"
"chkZoomInOnTarget","Zoom in on target vehicle/stop/position"
"groupBoredThreshold","Bored Threshold"
"sliderBored","Bored"
"txtBoredHint","[0..255] 0 = Just Arrived, 255 = Bored, time to go."
"groupTooltips","Tooltips"
"sliderFontSize","Font Size"
"sliderTooltipRowLimit","Tooltip Row Limit"
"groupLineIssuesGeneral","General"
"chkDeleteResolved","Delete resolved issues automatically"
"chkDeleteWhenClosing","Delete issues when closing Line Issue panel"
"groupIssues","Issues"
"chkFlagMoveSlowly","Flag if vehicles move slowly"
"sliderSlowVehicleThreshold","       Slow vehicle threshold"
"groupWarnings","Warnings"
"chkWarnDespawn","Warn if vehicles despawn"
"chkWarnBlocked","Warn if vehicles stop moving (blocked)"
"sliderBlockedThreshold","       Blocked vehicle threshold"
"chkLineIssues","Warn if transport line issues detected"
"chkPlaySound","Play sound when warnings are detected"
"lblOverview","Overview"
"lblOverviewTooltip","Overview for all lines."
"OverviewPassengers","Passengers"
"OverviewWaiting","Waiting"
"OverviewBored","Bored"
"panelLineIssues","Line Issues"
"headerLineName","Line Name"
"headerLineNameTooltip","Name of Line."
"headerStops","Stops"
"headerStopsTooltip","Total number of stops on this line."
"headerVehicleTooltip","Total number of vehicles on this line"
"headerBusiest","Busiest"
"headerPassengersTooltip","Current Passengers / Total Capacity"
"headerWaitingTooltip","Total number of people waiting at all stops"
"headerBusiestTooltip","Number of people waiting at busiest stop"
"headerBoredTooltip","Number of people who are waiting too long"
"titleLineIssuesPanel","Line Issues"
"listIssuesColumn1","Time"
"listIssuesColumnType","Type"
"listIssuesColumnTypeTooltip","Type of Issue"
"listIssuesColumn2","Line Name"
"listIssuesColumn3","Source"
"listIssuesColumn4","Description"
"listIssuesColumn1Tooltip","Time of Issue"
"listIssuesColumn2Tooltip","Line name where issue occurred"
"listIssuesColumn3Tooltip","Source of issue"
"listIssuesColumn4Tooltip","Description of issue"
"txtWeeklyPassengers","Weekly passengers"
"txtResidents","Residents"
"txtTourists","Tourists"
"txtStop","Stop"
"txtBlocked","Blocked"
"txtProblem","has a problem"
"txtResolved","Resolved"
"sliderBoredCountThreshold","Bored Count Threshold"
"chkBoredCount","Warn when bored count is above threshold (Per stop)"
"VehicleUsage","Usage %"
"headerUsageTooltip","Vehicle usage %"
"chkDisableTransparency","Disable Panel Transparency"
